article_url,title,date,publication_type,status,source_file,duplicate_of
https://www.transportenvironment.org/te-deutschland/articles/how-decarbonise-long-haul-trucking-germany,Die Dekarbonisierung des Lkw-Fernverkehrs in Deutschland,2021-04-06T01:00:00,Report,included,die-dekarbonisierung-des-lkw-fernverkehrs-in-deutschland.md,
https://www.transportenvironment.org/articles/unlocking-electric-trucking-eu-recharging-along-highways,Unlocking electric trucking in the EU: recharging along highways,2021-04-21T01:00:00,Report,included,unlocking-electric-trucking-in-the-eu-recharging-along-highways.md,
https://www.transportenvironment.org/articles/how-regulation-is-failing-to-electrify-europes-van-market,How regulation is failing to electrify Europe's van market,2021-05-10T01:00:00,Report,included,how-regulation-is-failing-to-electrify-europe-s-van-market.md,
https://www.transportenvironment.org/articles/lng-trucks-a-dead-end-bridge,LNG trucks: a dead-end bridge,2021-09-27T01:00:00,Report,included,lng-trucks-a-dead-end-bridge.md,
https://www.transportenvironment.org/articles/eu-truck-targets-too-weak-to-incentivise-the-production-of-enough-zero-emission-vehicles,EU truck targets too weak to incentivise transition to zero-emission vehicles,2021-10-10T01:00:00,Report,included,eu-truck-targets-too-weak-to-incentivise-transition-to-zero-emission-vehicles.md,
https://www.transportenvironment.org/articles/ready-or-not-who-are-the-frontrunners-in-the-global-race-to-clean-up-trucks,Ready or not: Who are the frontrunners in the global race to clean up trucks?,2023-06-19T01:00:00,Report,included,ready-or-not-who-are-the-frontrunners-in-the-global-race-to-clean-up-trucks.md,
https://www.transportenvironment.org/articles/on-thin-ice-norways-fossil-ambitions-and-the-eus-green-energy-future,On Thin Ice: Norway's Fossil Ambitions and the EU's Green Energy Future,2024-02-21T01:00:00,Report,included,on-thin-ice-norway-s-fossil-ambitions-and-the-eu-s-green-energy-future.md,
https://www.transportenvironment.org/articles/how-sustainable-are-advanced-and-waste-biofuels,How sustainable are advanced and waste biofuels?,2024-07-01T09:30:00,Report,included,how-sustainable-are-advanced-and-waste-biofuels.md,
https://www.transportenvironment.org/articles/aviation-industry-plans-for-growth-irreconcilable-with-europes-climate-goals,Aviation industry plans for growth 'irreconcilable' with Europe's climate goals,2025-01-13T00:00:00,Press release,included,aviation-industry-plans-for-growth-irreconcilable-with-europe-s-climate-goals.md,
https://www.transportenvironment.org/articles/imo-fuelling-deforestation,IMO: Fuelling deforestation,2025-02-17T05:00:00,Report,included,imo-fuelling-deforestation.md,
https://www.transportenvironment.org/articles/palm-oil-in-disguise,Palm oil in disguise?,2025-04-09T00:01:00,Report,included,palm-oil-in-disguise.md,
https://www.transportenvironment.org/topics/planes/saf-observatory/spotlight-on-e-kerosene,Spotlight on e-SAF,2025-06-16T00:30:00,News,included,spotlight-on-e-saf.md,
https://www.transportenvironment.org/articles/which-fuels-should-the-eu-back-for-shipping,Which fuels should the EU back for shipping?,2025-06-23T18:22:00,Briefing,included,which-fuels-should-the-eu-back-for-shipping.md,
https://www.transportenvironment.org/articles/shipping-is-flying-the-flag-for-multilateral-climate-action-why-arent-we-celebrating-yet,Shipping is flying the flag for multilateral climate action: why aren't we celebrating yet?,2025-07-04T15:03:00,Op-ed,included,shipping-is-flying-the-flag-for-multilateral-climate-action-why-aren-t-we-celebr.md,
https://www.transportenvironment.org/articles/buying-electric-shippers-to-zero-emission-trucking,Buying electric,2025-07-14T10:00:00,Report,included,buying-electric.md,
https://www.transportenvironment.org/articles/towards-2040-a-strengthened-ets-to-support-the-transition-of-the-shipping-sector,Towards 2040: a strengthened ETS to support the transition of the shipping sector,2025-07-14T11:00:00,Consultation response,included,towards-2040-a-strengthened-ets-to-support-the-transition-of-the-shipping-sector.md,
https://www.transportenvironment.org/articles/ev-progress-report-2025,EV progress report: Which EU carmakers are on track for 2025-27 targets?,2025-09-08T00:01:00,Report,included,ev-progress-report-which-eu-carmakers-are-on-track-for-2025-27-targets.md,
https://www.transportenvironment.org/articles/unlocking-e-fuels-for-aviation-and-shipping-and-clean-transport-infrastructure,Unlocking e-fuels for aviation and shipping and clean transport infrastructure,2025-09-09T08:00:00,Briefing,included,unlocking-e-fuels-for-aviation-and-shipping-and-clean-transport-infrastructure.md,
https://www.transportenvironment.org/articles/driving-change-creating-the-eus-ambitious-2040-climate-commitment,Driving Change: Creating the EU's Ambitious 2040 Climate Commitment,2025-09-09T17:39:00,Consultation response,included,driving-change-creating-the-eu-s-ambitious-2040-climate-commitment.md,
https://www.transportenvironment.org/articles/european-aviation-spending-billions-on-offsetting-schemes,European aviation set to spend billions on offsetting schemes,2025-09-22T15:00:00,Briefing,included,european-aviation-set-to-spend-billions-on-offsetting-schemes.md,
